arxiv_id,title,authors,published,iaifi_theme
2505.07956,Symbolic Regression with Multimodal Large Language Models and Kolmogorov Arnold Networks,Thomas R. Harvey; Fabian Ruehle; Cristofero S. Fraser-Taliente; James Halverson,2025-05-01,AI
2505.02361,Towards Understanding Distilled Reasoning Models: A Representational Approach,David D. Baek; Max Tegmark,2025-05-01,AI
2505.02248,Heterosynaptic Circuits Are Universal Gradient Machines,Liu Ziyin; Isaac Chuang; Tomaso Poggio,2025-05-01,AI
2504.18530,Scaling Laws For Scalable Oversight,Joshua Engels; David D. Baek; Subhash Kantamneni; Max Tegmark,2025-04-01,AI
2504.16929,I-Con: A Unifying Framework for Representation Learning,Shaden Alshammari; John Hershey; Axel Feldmann; William T. Freeman; Mark Hamilton,2025-04-01,AI
2504.16068,High-performance training and inference for deep equivariant interatomic potentials,Chuin Wei Tan; Marc L. Descoteaux; Mit Kotak; Gabriel de Miranda Nascimento; Seán R. Kavanagh; Laura Zichi; Menghang Wang; Aadit Saluja; Yizhong R. Hu; Tess Smidt; Anders Johansson; William C. Witt; Boris Kozinsky; Albert Musaelian,2025-04-01,AI
2504.12390,Learning Topological Invariance,James Halverson; Fabian Ruehle,2025-04-01,AI
2504.02822,Do Two AI Scientists Agree?,Xinghong Fu; Ziming Liu; Max Tegmark,2025-04-01,AI
2503.11061,Generative Modeling for Mathematical Discovery,Jordan S. Ellenberg; Cristofero S. Fraser-Taliente; Thomas R. Harvey; Karan Srivastava; Andrew V. Sutherland,2025-03-01,AI
2503.04725,L2M: Mutual Information Scaling Law for Long-Context Language Modeling,Zhuo Chen; Oriol Mayné i Comas; Zhuotao Jin; Di Luo; Marin Soljačić,2025-03-01,AI
2503.07596,Denoising Hamiltonian Network for Physical Reasoning,Congyue Deng; Brandon Y. Feng; Cecilia Garraffo; Alan Garbarz; Robin Walters; William T. Freeman; Leonidas Guibas; Kaiming He,2025-03-01,AI
2503.05558,Diffusion Models for Cayley Graphs,Michael R. Douglas; Kit Fraser-Taliente,2025-03-01,AI
2502.12243,"On the Learnability of Knot Invariants: Representation, Predictability, and Neural Similarity",Audrey Lindsay; Fabian Ruehle,2025-02-01,AI
2502.11774,Interpretable Machine Learning for Kronecker Coefficients,Giorgi Butbaia; Kyu-Hwan Lee; Fabian Ruehle,2025-02-01,AI
2502.10894,Bridging the Sim-to-Real Gap for Athletic Loco-Manipulation,Nolan Fey; Gabriel B. Margolis; Martin Peticco; Pulkit Agrawal,2025-02-01,AI
2502.10843,LEAPS: A discrete neural sampler via locally equivariant networks,Peter Holderrieth; Michael S. Albergo; Tommi Jaakkola,2025-02-01,AI
2502.10581,Do We Need to Verify Step by Step? Rethinking Process Supervision from a Theoretical Perspective,Zeyu Jia; Alexander Rakhlin; Tengyang Xie,2025-02-01,AI
2502.06079,Debiasing Guidance for Discrete Diffusion with Sequential Monte Carlo,Cheuk Kit Lee; Paul Jeha; Jes Frellsen; Pietro Lio; Michael Samuel Albergo; Francisco Vargas,2025-02-01,AI
2502.05300,Parameter Symmetry Breaking and Restoration Determines the Hierarchical Learning in AI Systems,Liu Ziyin; Yizhou Xu; Tomaso Poggio; Isaac Chuang,2025-02-01,AI
